date,home,away,score,tier,result
1951-03-03,Colchester United,Southend United,1-3,3,A
1951-03-17,Hartlepool United,Scunthorpe United,4-2,3,H
1951-03-23,Carlisle United,Rotherham United,0-0,3,D
1951-03-23,Colchester United,Torquay United,3-1,3,H
1951-03-26,Rotherham United,Carlisle United,3-0,3,H
1951-03-26,Torquay United,Colchester United,4-1,3,H
1951-03-31,Hartlepool United,Rotherham United,3-1,3,H
1951-04-21,Newcastle United,Manchester United,0-2,1,A
1951-08-25,Manchester United,Newcastle United,2-1,1,H
1951-08-25,Hartlepool United,Scunthorpe United,3-1,3,H
1951-08-25,Southend United,Torquay United,2-2,3,D
1951-09-15,Sheffield United,West Ham United,6-1,2,H
1951-09-22,West Ham United,Leeds United,2-0,2,H
1951-09-29,Rotherham United,Leeds United,4-2,2,H
1951-10-06,Rotherham United,West Ham United,2-1,2,H
1951-10-06,Colchester United,Torquay United,0-0,3,D
1951-10-06,Leeds United,Sheffield United,3-1,2,H
1951-10-13,Sheffield United,Rotherham United,1-0,2,H
1951-10-20,Carlisle United,Hartlepool United,2-1,3,H
1951-12-22,Newcastle United,Manchester United,2-2,1,D
1951-12-22,Scunthorpe United,Hartlepool United,2-0,3,H
1951-12-22,Torquay United,Southend United,1-3,3,A
1952-01-19,West Ham United,Sheffield United,5-1,2,H
1952-01-26,Leeds United,West Ham United,3-1,2,H
1952-02-09,Leeds United,Rotherham United,3-0,2,H
1952-02-16,West Ham United,Rotherham United,2-1,2,H
1952-02-16,Torquay United,Colchester United,3-1,3,H
1952-02-16,Sheffield United,Leeds United,3-0,2,H
1952-03-01,Rotherham United,Sheffield United,3-1,2,H
1952-03-08,Hartlepool United,Carlisle United,1-0,3,H
1952-04-12,Carlisle United,Scunthorpe United,3-0,3,H
1952-04-12,Colchester United,Southend United,1-0,3,H
1952-04-22,Southend United,Colchester United,3-2,3,H
1952-04-24,Scunthorpe United,Carlisle United,1-1,3,D
1952-08-23,Southend United,Torquay United,3-1,3,H
1952-08-30,Carlisle United,Hartlepool United,4-1,3,H
1952-09-06,Rotherham United,Leeds United,3-1,2,H
1952-09-20,West Ham United,Leeds United,2-2,2,D
1952-10-04,West Ham United,Rotherham United,2-4,2,A
1952-10-04,Hartlepool United,Scunthorpe United,1-1,3,D
1952-10-11,Sheffield United,Leeds United,2-1,2,H
1952-10-18,Colchester United,Southend United,3-3,3,D
1952-11-22,Manchester United,Newcastle United,2-2,1,D
1952-11-29,West Ham United,Sheffield United,1-1,2,D
1952-11-29,Colchester United,Torquay United,4-1,3,H
1952-12-13,Rotherham United,Sheffield United,0-2,2,A
1952-12-20,Torquay United,Southend United,4-2,3,H
1952-12-25,Carlisle United,Scunthorpe United,8-0,3,H
1952-12-27,Scunthorpe United,Carlisle United,1-2,3,A
1953-01-01,Sheffield United,Rotherham United,1-4,2,A
1953-01-03,Hartlepool United,Carlisle United,1-0,3,H
1953-01-17,Leeds United,Rotherham United,4-0,2,H
1953-02-07,Leeds United,West Ham United,3-2,2,H
1953-02-21,Rotherham United,West Ham United,1-1,2,D
1953-02-21,Scunthorpe United,Hartlepool United,0-0,3,D
1953-02-28,Leeds United,Sheffield United,0-3,2,A
1953-03-07,Southend United,Colchester United,4-0,3,H
1953-04-11,Newcastle United,Manchester United,1-2,1,A
1953-04-18,Sheffield United,West Ham United,3-1,2,H
1953-04-18,Torquay United,Colchester United,5-1,3,H
1953-08-20,Colchester United,Torquay United,3-1,3,H
1953-08-22,Leeds United,Rotherham United,4-2,2,H
1953-08-24,Rotherham United,West Ham United,5-0,2,H
1953-08-29,Manchester United,Newcastle United,1-1,1,D
1953-08-31,West Ham United,Rotherham United,3-0,2,H
1953-09-19,Leeds United,West Ham United,1-2,2,A
1953-09-21,Hartlepool United,Scunthorpe United,3-2,3,H
1953-09-23,Torquay United,Southend United,1-1,3,D
1953-09-30,Southend United,Torquay United,1-0,3,H
1953-10-01,Scunthorpe United,Hartlepool United,0-0,3,D
1953-10-31,Sheffield United,Newcastle United,3-1,1,H
1953-10-31,Torquay United,Colchester United,3-1,3,H
1953-12-05,Manchester United,Sheffield United,2-2,1,D
1953-12-05,Carlisle United,Scunthorpe United,5-1,3,H
1953-12-19,Rotherham United,Leeds United,2-4,2,A
1954-01-02,Newcastle United,Manchester United,1-2,1,A
1954-01-30,Carlisle United,Hartlepool United,2-3,3,A
1954-02-06,West Ham United,Leeds United,5-2,2,H
1954-03-13,Southend United,Colchester United,3-0,3,H
1954-03-20,Newcastle United,Sheffield United,4-1,1,H
1954-04-12,Hartlepool United,Carlisle United,1-1,3,D
1954-04-24,Sheffield United,Manchester United,1-3,1,A
1954-04-24,Scunthorpe United,Carlisle United,2-1,3,H
1954-04-29,Colchester United,Southend United,0-1,3,A
1954-08-25,Leeds United,Rotherham United,2-4,2,A
1954-08-28,Newcastle United,Sheffield United,1-2,1,A
1954-08-28,Carlisle United,Hartlepool United,3-2,3,H
1954-08-30,Rotherham United,Leeds United,3-0,2,H
1954-10-16,Leeds United,West Ham United,2-1,2,H
1954-10-16,Torquay United,Southend United,4-1,3,H
1954-10-23,Manchester United,Newcastle United,2-2,1,D
1954-11-06,Hartlepool United,Scunthorpe United,4-2,3,H
1954-11-13,Sheffield United,Manchester United,3-0,1,H
1954-11-27,Rotherham United,West Ham United,2-2,2,D
1955-01-01,Sheffield United,Newcastle United,6-2,1,H
1955-01-01,Hartlepool United,Carlisle United,1-0,3,H
1955-03-05,West Ham United,Leeds United,2-1,2,H
1955-03-05,Southend United,Torquay United,1-2,3,A
1955-03-26,Scunthorpe United,Hartlepool United,5-1,3,H
1955-03-31,Colchester United,Torquay United,0-2,3,A
1955-04-02,Manchester United,Sheffield United,5-0,1,H
1955-04-08,Colchester United,Southend United,2-0,3,H
1955-04-11,Southend United,Colchester United,4-2,3,H
1955-04-16,West Ham United,Rotherham United,1-2,2,A
1955-04-18,Newcastle United,Manchester United,2-0,1,H
1955-04-18,Scunthorpe United,Carlisle United,1-1,3,D
1955-04-30,Carlisle United,Scunthorpe United,1-2,3,A
1955-05-04,Torquay United,Colchester United,2-1,3,H
1955-08-20,Newcastle United,Sheffield United,4-2,1,H
1955-08-20,West Ham United,Rotherham United,1-1,2,D
1955-08-27,Colchester United,Southend United,3-6,3,A
1955-09-10,Sheffield United,Manchester United,1-0,1,H
1955-09-10,Leeds United,West Ham United,3-3,2,D
1955-09-24,Leeds United,Rotherham United,4-1,2,H
1955-10-01,Hartlepool United,Scunthorpe United,0-2,3,A
1955-10-08,Scunthorpe United,Carlisle United,4-0,3,H
1955-10-08,Torquay United,Colchester United,1-2,3,A
1955-12-17,Sheffield United,Newcastle United,2-1,1,H
1955-12-17,Rotherham United,West Ham United,3-2,2,H
1955-12-24,Southend United,Colchester United,4-0,3,H
1956-01-14,Manchester United,Sheffield United,3-1,1,H
1956-01-14,West Ham United,Leeds United,1-1,2,D
1956-02-11,Scunthorpe United,Hartlepool United,5-1,3,H
1956-02-18,Carlisle United,Scunthorpe United,1-2,3,A
1956-02-18,Colchester United,Torquay United,3-2,3,H
1956-03-17,Carlisle United,Hartlepool United,0-3,3,A
1956-03-30,Manchester United,Newcastle United,5-2,1,H
1956-04-02,Newcastle United,Manchester United,0-0,1,D
1956-04-21,Torquay United,Southend United,2-2,3,D
1956-04-23,Rotherham United,Leeds United,0-2,2,A
1956-04-30,Hartlepool United,Carlisle United,3-0,3,H
1956-05-02,Southend United,Torquay United,2-3,3,A
1956-08-18,Rotherham United,Sheffield United,0-4,2,A
1956-08-18,Colchester United,Southend United,3-2,3,H
1956-09-08,Newcastle United,Manchester United,1-1,1,D
1956-09-08,West Ham United,Rotherham United,1-1,2,D
1956-09-22,Hartlepool United,Carlisle United,2-1,3,H
1956-09-29,Sheffield United,West Ham United,1-0,2,H
1956-10-20,Torquay United,Colchester United,4-2,3,H
1956-11-03,Newcastle United,Leeds United,2-3,1,A
1956-11-10,Scunthorpe United,Carlisle United,1-2,3,A
1956-11-17,Manchester United,Leeds United,3-2,1,H
1956-12-01,Hartlepool United,Scunthorpe United,0-0,3,D
1956-12-01,Torquay United,Southend United,3-3,3,D
1956-12-15,Sheffield United,Rotherham United,2-7,2,A
1956-12-15,Southend United,Colchester United,3-2,3,H
1957-01-12,Manchester United,Newcastle United,6-1,1,H
1957-01-12,Rotherham United,West Ham United,0-1,2,A
1957-02-02,Carlisle United,Hartlepool United,2-1,3,H
1957-02-09,West Ham United,Sheffield United,3-2,2,H
1957-03-02,Colchester United,Torquay United,2-1,3,H
1957-03-16,Leeds United,Newcastle United,0-0,1,D
1957-03-23,Carlisle United,Scunthorpe United,0-0,3,D
1957-03-30,Leeds United,Manchester United,1-2,1,A
1957-04-13,Scunthorpe United,Hartlepool United,1-2,3,A
1957-04-13,Southend United,Torquay United,2-0,3,H
1957-08-24,Colchester United,Torquay United,3-0,3,H
1957-09-07,Manchester United,Leeds United,5-0,1,H
1957-09-07,Southend United,Colchester United,2-3,3,A
1957-09-09,West Ham United,Sheffield United,0-3,2,A
1957-09-16,Sheffield United,West Ham United,2-1,2,H
1957-10-05,Hartlepool United,Carlisle United,0-1,3,A
1957-10-19,Sheffield United,Rotherham United,2-0,2,H
1957-10-26,Rotherham United,West Ham United,1-2,2,A
1957-10-26,Carlisle United,Scunthorpe United,3-4,3,A
1957-11-23,Newcastle United,Manchester United,1-2,1,A
1957-12-14,Leeds United,Newcastle United,3-0,1,H
1957-12-21,Torquay United,Colchester United,1-3,3,A
1958-01-11,Leeds United,Manchester United,1-1,1,D
1958-01-11,Colchester United,Southend United,1-0,3,H
1958-02-15,Carlisle United,Hartlepool United,1-2,3,A
1958-03-01,Rotherham United,Sheffield United,1-6,2,A
1958-03-08,West Ham United,Rotherham United,8-0,2,H
1958-04-05,Scunthorpe United,Hartlepool United,2-0,3,H
1958-04-19,Southend United,Torquay United,0-0,3,D
1958-04-23,Manchester United,Newcastle United,1-1,1,D
1958-04-26,Newcastle United,Leeds United,1-2,1,A
1958-04-28,Hartlepool United,Scunthorpe United,1-2,3,A
1958-04-29,Torquay United,Southend United,2-2,3,D
1958-05-01,Scunthorpe United,Carlisle United,3-1,3,H
1958-09-06,Hartlepool United,Torquay United,2-4,4,A
1958-09-08,West Ham United,Manchester United,3-2,1,H
1958-09-13,Newcastle United,Manchester United,1-1,1,D
1958-09-17,Manchester United,West Ham United,4-1,1,H
1958-09-20,Scunthorpe United,Rotherham United,2-0,2,H
1958-09-24,Southend United,Colchester United,1-1,3,D
1958-09-27,Sheffield United,Rotherham United,2-0,2,H
1958-09-29,Colchester United,Southend United,0-1,3,A
1958-10-11,Sheffield United,Scunthorpe United,4-1,2,H
1958-11-01,Leeds United,Manchester United,1-2,1,A
1958-11-22,Hartlepool United,Carlisle United,1-2,4,A
1958-11-29,Leeds United,Newcastle United,3-2,1,H
1958-12-06,West Ham United,Leeds United,2-3,1,A
1959-01-17,Torquay United,Hartlepool United,1-3,4,A
1959-01-31,Manchester United,Newcastle United,4-4,1,D
1959-02-07,Rotherham United,Scunthorpe United,1-0,2,H
1959-02-25,Torquay United,Carlisle United,0-0,4,D
1959-03-21,Manchester United,Leeds United,4-0,1,H
1959-03-27,West Ham United,Newcastle United,3-0,1,H
1959-03-28,Scunthorpe United,Sheffield United,1-3,2,A
1959-03-30,Newcastle United,West Ham United,3-1,1,H
1959-04-11,Carlisle United,Hartlepool United,1-0,4,H
1959-04-15,Rotherham United,Sheffield United,2-2,2,D
1959-04-18,Newcastle United,Leeds United,2-2,1,D
1959-04-25,Leeds United,West Ham United,1-0,1,H
1959-04-25,Carlisle United,Torquay United,0-1,4,A
1959-08-29,Manchester United,Newcastle United,3-2,1,H
1959-09-05,West Ham United,Leeds United,1-2,1,A
1959-09-05,Rotherham United,Scunthorpe United,1-1,2,D
1959-09-09,Manchester United,Leeds United,6-0,1,H
1959-09-16,Leeds United,Manchester United,2-2,1,D
1959-09-26,Leeds United,Newcastle United,2-3,1,A
1959-09-26,Scunthorpe United,Sheffield United,1-1,2,D
1959-10-03,Newcastle United,West Ham United,0-0,1,D
1959-10-03,Sheffield United,Rotherham United,2-3,2,A
1959-10-24,Carlisle United,Torquay United,2-0,4,H
1960-01-02,Newcastle United,Manchester United,7-3,1,H
1960-01-09,Torquay United,Hartlepool United,3-0,4,H
1960-01-16,Leeds United,West Ham United,3-0,1,H
1960-01-16,Scunthorpe United,Rotherham United,2-1,2,H
1960-02-13,Newcastle United,Leeds United,2-1,1,H
1960-02-13,Sheffield United,Scunthorpe United,2-1,2,H
1960-02-20,West Ham United,Newcastle United,3-5,1,A
1960-03-02,Rotherham United,Sheffield United,0-0,2,D
1960-03-12,Torquay United,Carlisle United,2-1,4,H
1960-04-02,Hartlepool United,Torquay United,4-0,4,H
1960-04-15,Colchester United,Southend United,2-3,3,A
1960-04-15,Carlisle United,Hartlepool United,1-1,4,D
1960-04-15,West Ham United,Manchester United,2-1,1,H
1960-04-18,Manchester United,West Ham United,5-3,1,H
1960-04-18,Southend United,Colchester United,1-0,3,H
1960-04-18,Hartlepool United,Carlisle United,1-2,4,A
1960-08-22,Hartlepool United,Peterborough United,0-2,4,A
1960-08-27,Leeds United,Rotherham United,2-0,2,H
1960-08-27,Carlisle United,Peterborough United,3-3,4,D
1960-08-29,Peterborough United,Hartlepool United,3-2,4,H
1960-09-05,West Ham United,Manchester United,2-1,1,H
1960-09-14,Manchester United,West Ham United,6-1,1,H
1960-09-17,Torquay United,Southend United,2-1,3,H
1960-09-24,Scunthorpe United,Rotherham United,1-1,2,D
1960-10-01,Hartlepool United,Carlisle United,0-1,4,A
1960-10-08,Sheffield United,Scunthorpe United,2-0,2,H
1960-10-22,Manchester United,Newcastle United,3-2,1,H
1960-11-05,Sheffield United,Leeds United,3-2,2,H
1960-11-19,Sheffield United,Rotherham United,3-1,2,H
1960-11-19,Colchester United,Torquay United,3-3,3,D
1960-12-03,Colchester United,Southend United,2-0,3,H
1960-12-10,Newcastle United,West Ham United,5-5,1,D
1960-12-31,Rotherham United,Leeds United,1-3,2,A
1960-12-31,Peterborough United,Carlisle United,5-0,4,H
1961-02-04,Southend United,Torquay United,3-2,3,H
1961-02-11,Rotherham United,Scunthorpe United,4-0,2,H
1961-02-18,Carlisle United,Hartlepool United,2-2,4,D
1961-02-25,Scunthorpe United,Sheffield United,1-1,2,D
1961-02-25,Southend United,Colchester United,2-1,3,H
1961-03-11,Newcastle United,Manchester United,1-1,1,D
1961-03-25,Leeds United,Sheffield United,1-2,2,A
1961-04-01,West Ham United,Newcastle United,1-1,1,D
1961-04-03,Scunthorpe United,Leeds United,3-2,2,H
1961-04-08,Rotherham United,Sheffield United,1-2,2,A
1961-04-08,Torquay United,Colchester United,1-1,3,D
1961-04-25,Leeds United,Scunthorpe United,2-2,2,D
1961-08-19,West Ham United,Manchester United,1-1,1,D
1961-08-21,Colchester United,Carlisle United,2-0,4,H
1961-08-29,Carlisle United,Colchester United,1-1,4,D
1961-09-02,Leeds United,Rotherham United,1-3,2,A
1961-09-15,Scunthorpe United,Rotherham United,5-2,2,H
1961-09-16,Colchester United,Hartlepool United,6-1,4,H
1961-09-23,Sheffield United,West Ham United,1-4,1,A
1961-09-23,Hartlepool United,Carlisle United,0-3,4,A
1961-10-27,Scunthorpe United,Newcastle United,3-2,2,H
1961-11-11,Rotherham United,Newcastle United,0-0,2,D
1961-12-16,Manchester United,West Ham United,1-2,1,A
1961-12-26,Leeds United,Scunthorpe United,1-4,2,A
1961-12-26,Peterborough United,Southend United,4-1,3,H
1961-12-30,Southend United,Peterborough United,1-1,3,D
1962-01-06,Southend United,Torquay United,2-1,3,H
1962-01-12,Rotherham United,Leeds United,2-1,2,H
1962-01-27,Leeds United,Newcastle United,0-1,2,A
1962-02-02,Rotherham United,Scunthorpe United,0-1,2,A
1962-02-03,Hartlepool United,Colchester United,1-1,4,D
1962-02-10,West Ham United,Sheffield United,1-2,1,A
1962-02-10,Carlisle United,Hartlepool United,1-0,4,H
1962-02-20,Scunthorpe United,Leeds United,2-1,2,H
1962-03-17,Newcastle United,Scunthorpe United,2-1,2,H
1962-03-24,Torquay United,Southend United,2-2,3,D
1962-03-31,Newcastle United,Rotherham United,1-0,2,H
1962-04-02,Torquay United,Peterborough United,1-3,3,A
1962-04-14,Peterborough United,Torquay United,2-1,3,H
1962-04-23,Manchester United,Sheffield United,0-1,1,A
1962-04-24,Sheffield United,Manchester United,2-3,1,A
1962-04-28,Newcastle United,Leeds United,0-3,2,A
1962-08-21,Carlisle United,Peterborough United,1-4,3,A
1962-08-22,Leeds United,Rotherham United,3-4,2,A
1962-08-25,Oxford United,Hartlepool United,6-2,4,H
1962-08-27,Peterborough United,Carlisle United,2-2,3,D
1962-08-28,Rotherham United,Leeds United,2-1,2,H
1962-09-04,Scunthorpe United,Newcastle United,2-1,2,H
1962-09-05,Oxford United,Torquay United,1-1,4,D
1962-09-08,Scunthorpe United,Rotherham United,1-0,2,H
1962-09-12,Torquay United,Oxford United,2-2,4,D
1962-09-15,Hartlepool United,Torquay United,0-3,4,A
1962-09-22,Southend United,Colchester United,2-3,3,A
1962-09-29,West Ham United,Sheffield United,1-1,1,D
1962-10-20,Leeds United,Newcastle United,1-0,2,H
1962-10-27,Manchester United,West Ham United,3-1,1,H
1962-11-10,Southend United,Carlisle United,2-0,3,H
1962-11-17,Carlisle United,Colchester United,3-1,3,H
1962-11-24,Newcastle United,Scunthorpe United,1-1,2,D
1962-12-01,Sheffield United,Manchester United,1-1,1,D
1962-12-01,Peterborough United,Colchester United,6-2,3,H
1962-12-08,Newcastle United,Rotherham United,4-1,2,H
1962-12-22,Hartlepool United,Oxford United,1-2,4,A
1963-02-02,Torquay United,Hartlepool United,2-0,4,H
1963-02-16,Sheffield United,West Ham United,0-2,1,A
1963-03-09,Newcastle United,Leeds United,1-1,2,D
1963-03-18,West Ham United,Manchester United,3-1,1,H
1963-03-30,Carlisle United,Southend United,1-2,3,A
1963-04-03,Leeds United,Scunthorpe United,1-0,2,H
1963-04-06,Colchester United,Carlisle United,2-1,3,H
1963-04-13,Peterborough United,Southend United,1-3,3,A
1963-04-20,Manchester United,Sheffield United,1-1,1,D
1963-04-20,Colchester United,Peterborough United,2-0,3,H
1963-04-23,Scunthorpe United,Leeds United,0-2,2,A
1963-04-27,Rotherham United,Newcastle United,3-1,2,H
1963-05-04,Colchester United,Southend United,3-1,3,H
1963-05-06,Southend United,Peterborough United,2-1,3,H
1963-05-17,Rotherham United,Scunthorpe United,1-0,2,H
1963-08-26,Hartlepool United,Torquay United,1-4,4,A
1963-08-28,Leeds United,Rotherham United,1-0,2,H
1963-09-03,Rotherham United,Leeds United,2-2,2,D
1963-09-07,West Ham United,Sheffield United,2-3,1,A
1963-09-11,Torquay United,Hartlepool United,4-2,4,H
1963-09-14,Torquay United,Carlisle United,3-1,4,H
1963-09-16,Hartlepool United,Carlisle United,0-6,4,A
1963-09-20,Carlisle United,Oxford United,2-1,4,H
1963-09-28,Rotherham United,Scunthorpe United,2-1,2,H
1963-09-28,Peterborough United,Southend United,3-0,3,H
1963-10-01,Carlisle United,Hartlepool United,7-1,4,H
1963-10-05,Scunthorpe United,Leeds United,0-1,2,A
1963-10-07,Southend United,Colchester United,0-0,3,D
1963-10-14,Colchester United,Southend United,3-3,3,D
1963-10-21,Peterborough United,Colchester United,4-0,3,H
1963-10-26,Manchester United,West Ham United,0-1,1,A
1963-10-28,Colchester United,Peterborough United,4-1,3,H
1963-11-02,Hartlepool United,Oxford United,2-1,4,H
1963-11-30,Sheffield United,Manchester United,1-2,1,A
1963-12-07,Newcastle United,Scunthorpe United,3-1,2,H
1963-12-26,Oxford United,Torquay United,1-0,4,H
1963-12-28,Torquay United,Oxford United,0-0,4,D
1964-01-11,Sheffield United,West Ham United,2-1,1,H
1964-01-18,Carlisle United,Torquay United,0-1,4,A
1964-02-01,Oxford United,Carlisle United,1-2,4,A
1964-02-08,Scunthorpe United,Rotherham United,4-3,2,H
1964-02-08,Southend United,Peterborough United,2-0,3,H
1964-02-15,Leeds United,Scunthorpe United,1-0,2,H
1964-02-22,Rotherham United,Newcastle United,2-3,2,A
1964-03-07,West Ham United,Manchester United,0-2,1,A
1964-03-14,Oxford United,Hartlepool United,5-1,4,H
1964-03-27,Newcastle United,Leeds United,0-1,2,A
1964-03-30,Leeds United,Newcastle United,2-1,2,H
1964-04-08,Newcastle United,Rotherham United,5-2,2,H
1964-04-13,Manchester United,Sheffield United,2-1,1,H
1964-04-18,Scunthorpe United,Newcastle United,2-0,2,H
1964-08-22,Colchester United,Carlisle United,0-1,3,A
1964-08-24,West Ham United,Manchester United,3-1,1,H
1964-09-02,Manchester United,West Ham United,3-1,1,H
1964-09-05,Peterborough United,Southend United,4-2,3,H
1964-09-05,Oxford United,Hartlepool United,3-0,4,H
